country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Malaysia,Pahang,20,3308545,421163557,127,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,25,3303635,420910143,127,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,30,3295418,420480303,128,28019195,9485087,18534108,15513022,21121808,9584388,21889527,31515413,23872638,23869649,17733488,29796939,30006073,26541969,48103725,21622693,43501482,31278330,55409537,40962541,31837425,30060307,22824586,23278271,16098470
Malaysia,Pahang,50,3249607,417750155,129,27869707,9236201,18633506,15418135,21009099,9545150,21806199,31413608,23827655,23827128,17696234,29743048,29965096,26505184,47970692,21499094,43123515,31087660,54941414,40718406,31593644,29793343,22643526,23062349,15943367
Malaysia,Pahang,75,3063046,404010000,132,26833899,8261036,18572863,14618076,20085832,8922778,21060064,30360259,23333283,23331499,17331463,29198222,29536044,26210461,47018158,20677742,41011225,29781894,52094449,39197716,30170077,28273736,21565173,21536157,15031473
Malaysia,Perak,0,2091110,207202266,99,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,10,1795110,206728430,115,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,15,1785066,206237585,116,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,20,1778841,205918927,116,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,25,1774699,205715084,116,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,30,1766056,205281845,116,7279855,5316064,1963790,3305594,4718963,2615259,3819849,6203257,4212511,6848048,5118860,9814619,8634580,9433174,9479235,5597916,12186622,9330592,12251099,10829565,8194107,8080205,6420773,7681938,5380044
Malaysia,Perak,50,1728918,203247735,118,7222527,5159447,2063080,3279405,4681494,2587417,3792354,6173607,4193049,6824679,5104180,9784212,8618304,9419583,9441264,5554310,12088624,9267314,12107702,10713891,8094947,7973401,6335083,7567119,5293656
Malaysia,Perak,75,1603872,195468437,122,6926191,4676756,2249435,3091979,4413898,2413802,3587549,5901278,4059959,6604223,4967578,9529117,8464899,9307044,9249666,5351577,11672415,8983065,11516304,10148481,7647465,7485823,5968863,7084203,4927009
Malaysia,Perlis,0,82349,2952940,36,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,10,29311,2832283,97,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,15,28648,2794018,98,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,20,28308,2774155,98,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,25,28044,2760716,98,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,30,27367,2719784,99,93027,147090,-54062,114229,58343,19280,36824,75352,30347,34508,31794,93921,64461,26214,39986,59672,182505,124123,240288,177435,109162,126378,159911,97765,144106
Malaysia,Perlis,50,25598,2601968,102,90106,139320,-49214,109370,54447,18774,35734,73199,29151,33929,30609,89094,63918,25994,39522,57836,175922,120859,234663,172282,104202,122349,155710,93131,141641
Malaysia,Perlis,75,19860,2078232,105,68519,117022,-48504,74762,37271,14209,27671,55110,23467,28576,23131,65832,54767,22991,34456,44196,131381,95191,185324,124199,71063,85131,115038,69353,124293
Malaysia,Pulau Pinang,0,105622,4254227,40,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,10,49792,4155540,83,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,15,48776,4106379,84,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,20,48230,4079082,85,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,25,47774,4056618,85,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,30,46677,4001163,86,97456,158720,-61263,16438,61336,54152,82698,112505,95729,78606,78580,151630,165503,96167,116669,49712,154364,118358,168551,133247,85190,84421,77488,89066,73630
Malaysia,Pulau Pinang,50,43161,3803492,88,94231,147089,-52857,15840,59505,52537,79352,109152,93407,76754,76987,148459,163204,95017,114321,47784,147214,112643,161368,127992,81557,80023,73966,85252,70753
Malaysia,Pulau Pinang,75,32935,3131770,95,77615,116839,-39223,13083,47702,43213,61377,88435,80873,66792,63440,127375,149467,82987,99619,38746,111827,89902,125938,103574,66208,60801,58490,69720,57971
Malaysia,Putrajaya,0,6173,130052,21,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,10,1720,127212,74,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,15,1670,124934,75,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,20,1644,123683,75,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,25,1618,122523,76,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,30,1583,120859,76,6567,11119,-4552,8546,13642,9217,7440,3807,1500,4369,692,5555,1694,1703,1953,1502,4885,4485,11358,13633,13919,9516,6416,12774,5868
Malaysia,Putrajaya,50,1395,109968,79,5952,10548,-4596,7164,11151,8910,6730,3530,1404,4256,507,5304,1641,1681,1904,1387,3940,3894,10521,12482,12237,8448,5917,12227,5711
Malaysia,Putrajaya,75,925,77700,84,4124,9271,-5148,4631,6547,6163,3356,1920,1280,3421,236,3033,1445,1469,1379,1027,2431,2046,7093,10503,7046,5688,4682,10519,4809
Malaysia,Sabah,0,7372091,833296406,113,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,10,6769712,832107145,123,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,15,6742543,830848059,123,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,20,6721855,829806182,123,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,25,6710515,829233966,124,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,30,6684138,827865730,124,38527824,23744512,14783312,30504940,29345748,18733443,43712671,39521412,44465205,35082789,47199903,55672027,50929834,39326584,56421384,29061513,68404103,51989474,54136001,33842106,30871759,26467419,20562367,21207572,20153878
Malaysia,Sabah,50,6585815,822443777,125,38290072,23189336,15100735,30374020,29214255,18674706,43591905,39420395,44385294,34994570,47107091,55560976,50847132,39251071,56225239,28782564,67734523,51396323,53438254,33513467,30568913,26133149,20268724,20964322,19934687
Malaysia,Sabah,75,6165734,792620641,129,36823984,21125896,15698087,29516502,28280937,18207495,42633041,38566300,43624210,34286649,46232964,54544148,50032680,38562316,54976797,27127622,63791170,48110161,49552206,31811101,28895499,24322692,18741066,19594358,18717725
Malaysia,Sarawak,0,12379545,1558622185,126,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,10,11727777,1556882267,133,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,15,11699536,1555554478,133,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,20,11680467,1554629007,133,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,25,11666586,1553942931,133,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sarawak,30,11643005,1552792014,133,112116885,39790391,72326494,50220307,52419183,60203695,91244840,103637432,97956150,152903678,140234290,276369034,117525138,167511455,225940181,100817758,170897158,112170381,118705219,109060544,98992412,79985029,46688536,45653199,47435841
Malaysia,Sarawak,50,11524585,1546121234,134,111740529,39197257,72543272,49914850,52227276,60003741,90940380,103359795,97773762,152715111,140113164,276131144,117443881,167349866,225580807,100475412,170137241,111611159,117929557,108296133,98273056,79386239,46286398,45277143,47065523
Malaysia,Sarawak,75,11067414,1513688668,137,109611121,37054871,72556250,48468497,51024034,58756761,88940438,101608685,96421776,150836379,138978720,273489616,116671746,166254624,223410567,98343960,166096971,108711121,114087638,104644502,94915366,76480519,44449371,43519416,45333950
Malaysia,Selangor,0,782443,55057927,70,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,10,581303,54785119,94,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,15,575405,54537124,95,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,20,571761,54377662,95,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,25,568977,54259317,95,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,30,564558,54064971,96,3109460,2591329,518131,4094673,3378792,1509357,3490271,3621544,1770912,3646279,2715750,6326792,4036288,1394515,2650491,1287901,7218670,1964783,3989146,3100241,3369929,2897072,1733194,2816861,1394662
Malaysia,Selangor,50,543059,53006083,98,3058559,2466435,592124,4068586,3334065,1481805,3429270,3586242,1753003,3620617,2702754,6300452,4016754,1389445,2629264,1268906,7113150,1906126,3880435,2992021,3289538,2796239,1661387,2725853,1342395
Malaysia,Selangor,75,477581,49218157,103,2779810,2107644,672166,3830811,3038386,1293249,3006651,3330481,1602626,3397633,2579528,6053940,3838339,1345859,2483624,1169699,6636769,1638760,3344266,2522637,2909265,2361426,1348848,2311566,1111461
Malaysia,Trengganu,0,1288895,139834155,108,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,10,1123158,139627207,124,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,15,1117368,139349106,125,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,20,1113668,139162067,125,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,25,1111102,139035288,125,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,30,1106226,138785265,125,6550677,3859604,2691072,3323453,3805825,2068182,6278519,5134323,4756703,4993286,6086549,8730869,10074527,6143847,9024779,6025767,8837484,7764499,11366984,8798471,7785161,7430061,4582375,4889039,6214182
Malaysia,Trengganu,50,1084795,137498633,127,6496987,3728244,2768743,3306954,3792286,2062305,6256944,5117448,4744422,4978703,6065263,8713930,10058435,6133417,8999301,5985002,8718064,7692755,11217008,8686295,7680667,7323048,4480009,4796911,6124557
Malaysia,Trengganu,75,1007112,131750848,131,6147472,3250928,2896545,3206479,3682745,2012478,6067677,4958230,4606342,4810695,5862170,8529970,9893881,6051751,8806435,5722049,8058000,7189822,10372159,8026539,7014938,6631964,3908757,4249630,5581679
