"alert__week","alert__year","alert__count","confidence__cat"
30,2019,154,"n"
30,2019,2,"l"
29,2019,381,"n"
29,2019,6,"h"
29,2019,11,"l"
28,2019,257,"n"
28,2019,8,"h"
28,2019,3,"l"
27,2019,7,"l"
27,2019,1,"h"
27,2019,264,"n"
26,2019,1,"h"
26,2019,1,"l"
26,2019,192,"n"
25,2019,87,"n"
25,2019,1,"l"
24,2019,2,"h"
24,2019,138,"n"
23,2019,1,"h"
23,2019,87,"n"
23,2019,2,"l"
22,2019,2,"l"
22,2019,4,"h"
22,2019,319,"n"
21,2019,8,"l"
21,2019,269,"n"
21,2019,1,"h"
20,2019,2,"h"
20,2019,5,"l"
20,2019,286,"n"
19,2019,10,"h"
19,2019,535,"n"
19,2019,3,"l"
18,2019,16,"h"
18,2019,348,"n"
18,2019,17,"l"
17,2019,305,"n"
17,2019,19,"l"
17,2019,3,"h"
16,2019,35,"h"
16,2019,71,"l"
16,2019,895,"n"
15,2019,360,"n"
15,2019,9,"h"
15,2019,7,"l"
14,2019,9,"h"
14,2019,598,"n"
14,2019,30,"l"
13,2019,16,"l"
13,2019,327,"n"
13,2019,5,"h"
12,2019,70,"h"
12,2019,79,"l"
12,2019,1427,"n"
11,2019,1804,"n"
11,2019,83,"h"
11,2019,153,"l"
10,2019,931,"n"
10,2019,18,"h"
10,2019,82,"l"
9,2019,26,"h"
9,2019,78,"l"
9,2019,701,"n"
8,2019,13,"h"
8,2019,538,"n"
8,2019,23,"l"
7,2019,15,"h"
7,2019,49,"l"
7,2019,560,"n"
6,2019,13,"l"
6,2019,399,"n"
6,2019,3,"h"
5,2019,110,"n"
5,2019,1,"h"
4,2019,104,"n"
4,2019,5,"l"
3,2019,1,"h"
3,2019,3,"l"
3,2019,107,"n"
2,2019,1,"l"
2,2019,151,"n"
1,2019,143,"n"
1,2019,1,"h"
52,2018,73,"n"
52,2018,4,"l"
51,2018,59,"n"
51,2018,2,"h"
51,2018,3,"l"
50,2018,1,"h"
50,2018,40,"n"
49,2018,37,"n"
48,2018,76,"n"
48,2018,1,"h"
47,2018,96,"n"
47,2018,1,"l"
46,2018,27,"n"
45,2018,30,"n"
44,2018,1,"l"
44,2018,110,"n"
43,2018,2,"h"
43,2018,6,"l"
43,2018,138,"n"
42,2018,1,"l"
42,2018,61,"n"
41,2018,1,"h"
41,2018,98,"n"
40,2018,225,"n"
40,2018,26,"l"
40,2018,6,"h"
39,2018,10,"h"
39,2018,479,"n"
39,2018,18,"l"
38,2018,97,"n"
38,2018,4,"h"
38,2018,5,"l"
37,2018,179,"n"
36,2018,2,"h"
36,2018,5,"l"
36,2018,137,"n"
35,2018,13,"h"
35,2018,18,"l"
35,2018,545,"n"
34,2018,11,"h"
34,2018,564,"n"
34,2018,22,"l"
33,2018,89,"h"
33,2018,1621,"n"
33,2018,85,"l"
32,2018,27,"h"
32,2018,770,"n"
32,2018,17,"l"
31,2018,4,"l"
31,2018,3,"h"
31,2018,276,"n"
30,2018,547,"n"
30,2018,7,"l"
30,2018,16,"h"
29,2018,47,"h"
29,2018,1200,"n"
29,2018,19,"l"
28,2018,10,"l"
28,2018,406,"n"
28,2018,5,"h"
27,2018,1,"h"
27,2018,104,"n"
26,2018,74,"n"
26,2018,5,"l"
26,2018,1,"h"
25,2018,1,"h"
25,2018,196,"n"
25,2018,4,"l"
24,2018,4,"h"
24,2018,217,"n"
24,2018,2,"l"
23,2018,302,"n"
23,2018,7,"h"
23,2018,5,"l"
22,2018,3,"l"
